institution,elderate,city,street,numbers
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,S. Raštikio skersgatvis,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Salako gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Smėlynės gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Sodų gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Stoties gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Vasario 16-osios gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Vilniaus gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Dūkšto miestas,Zarasų gatvė,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Ežeriškės viensėdis,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Galiniškės kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Gerkonių kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Gimtinės kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Girutiškės I kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Girutiškės II kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Kairiškės kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Kamuntavo kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Kaniūkų kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Karačiūnos kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Karnitiškės kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Keižių kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Kuzmitiškės kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Kuzmiškės kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Liesniškės viensėdis,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Medeišių kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Mieleikiškės viensėdis,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Moliakalnio kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Paberžuonės viensėdis,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Pasamanės viensėdis,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Pašventės kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Pažemiškio kaimas,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,,Piliakalnio kaimas,,
