institution,elderate,city,street,numbers
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Vasyliškių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Vengrių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Vidumiškio viensėdis,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Viliukų kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Šemetiškių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Žalgirių kaimas,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,,Žerdetiškio kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Gandrų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Gegutės gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Genių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Gervių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Lakštingalų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Pelėdų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Pempių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Pievų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Putpelių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Pušelės gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Sniegenų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Strazdų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Varnėnų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Vieversių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Zylių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio I kaimas,Žvirblių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Antakalnio II kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Butkiškių kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Griežionių kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Inkilų kaimas,Ateities gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Inkilų kaimas,Kaštonų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Janušiškės kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Baltikų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Baravykų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Briedžiukų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Grybautojų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Jogvilų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Kazlėkų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Kelmučių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Nuotekų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Paliepių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Paąžuolių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Raudonviršių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Rudmėsių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Samanų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Voveraičių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Ūmėdžių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Jogvilų kaimas,Žaliuokių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Juknonių kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Juodausių kaimas,Liepų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Juodausių kaimas,Paupio gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Juodkiškių kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Juodžiūnų kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Kartėnų kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Kurėjų kaimas,Butkiškių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Kurėjų kaimas,Kaštonų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Kurėjų kaimas,Lakštingalų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Kurėjų kaimas,Miško gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Kurėjų kaimas,Sodų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Kurėjų kaimas,Taikos gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Lentvorų kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Lyduokių miestelis,Butkiškių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Lyduokių miestelis,Juknonių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Lyduokių miestelis,Klevų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Lyduokių miestelis,Mokyklos gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Lyduokių miestelis,Slabados gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Lyduokių miestelis,Taikos gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Lyduokių miestelis,Topolių gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Nuotekų kaimas,Kranto gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Nuotekų kaimas,Tuopų gatvė,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Paprėniškių kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Pempių kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Ramoniškės kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Rimeisių kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Siesarties kaimas,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,,Skominėlių kaimas,,
