Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
1902, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Duobiškiai, Duobiškių kaimas, Siesarties gatvė
1903, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Artojų gatvė
1904, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Ateities gatvė
1905, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Beržų gatvė
1906, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Degučių gatvė
1907, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Draugystės gatvė
1908, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Ežero gatvė
1909, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Giedručių gatvė
1910, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Gulbinų gatvė
1911, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Lauko gatvė
1912, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Miško gatvė
1913, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Parko gatvė
1914, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Šiaurės gatvė
1915, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Sodžiaus gatvė
1916, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Ūkininkų gatvė
1917, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Valių gatvė
1918, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Giedručiai, Giedručių kaimas, Vasario 16-osios gatvė
1919, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Augustavos gatvė
1920, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Aušros gatvė
1921, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Ąžuolyno gatvė
1922, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Dzūkų gatvė
1923, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Emiliavos gatvė
1924, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Ežero gatvė
1925, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Gipsinių gatvė
1926, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Girėnų gatvė
1927, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Kauno gatvė
1928, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Kermušėnų gatvė
1929, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Lembūdžių gatvė
1930, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Muziejaus gatvė
1931, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Piliukiškės gatvė
1932, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Rasų gatvė
1933, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Ryto gatvė
1934, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Rožių gatvė
1935, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Siesarties gatvė
1936, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Sodų gatvė
1937, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Stadiono gatvė
1938, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Sūduvių gatvė
1939, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Suvalkiečių gatvė
1940, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Girėnai, Girėnų kaimas, Vasario 16-osios gatvė
1941, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Gulbinai, Gulbinų kaimas
1942, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Joniškiai, Joniškių kaimas
1943, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Juniškiai, Juniškių kaimas
1944, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Kadariniai, Kadarinių kaimas
1945, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Katinėliai, Katinėlių kaimas
1946, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Kermušynai, Kermušynų kaimas
1947, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Kiaulupiai, Kiaulupių kaimas
1948, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Kriaučėnai, Kriaučėnų kaimas
1949, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Krūtuliai, Krūtulių kaimas
1950, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Kumpupiai, Kumpupių kaimas
1951, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Kuodžiai, Kuodžių kaimas
1952, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Kušlikiai, Kušlikių kaimas
1953, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Lembūdžiai, Lembūdžių kaimas
1954, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Lepoldava, Lepoldavos kaimas
1955, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Liepalotai, Liepalotų kaimas
1956, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Liepkartai, Liepkartų kaimas
1957, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Liukai, Liukų kaimas
1958, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Lukšeliai, Lukšelių kaimas
1959, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Matuliai, Matulių kaimas
1960, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Melninkai, Melninkų kaimas
1961, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Menčikiai, Menčikių kaimas
1962, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Mišiurkėnai, Mišiurkėnų kaimas
1963, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Mišiurkė, Mišiurkės kaimas
1964, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Nartai, Nartų kaimas
1965, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Naudvaris, Naudvario kaimas
1966, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Naudžiai, Naudžių kaimas
1967, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Pakorbūdžiai, Pakorbūdžių kaimas
1968, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Pariebiai, Pariebių kaimas
1969, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Paspirgėliai, Paspirgėlių kaimas
1970, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Piliukiškė, Piliukiškės kaimas
1971, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Pyragiai, Pyragių kaimas
1972, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Plieniškiai, Plieniškių kaimas
1973, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Pusdešriai, Pusdešrių kaimas
1974, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Puskepaliai, Puskepalių kaimas
1975, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Rėkeliai, Rėkelių kaimas
1976, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Ritiniai, Ritinių kaimas
1977, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Skardupiai, Skardupių kaimas
1978, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Stumbriškė, Stumbriškės kaimas
1979, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Šikšniai, Šikšnių kaimas
1980, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Šilgaliai, Šilgalių kaimas
1981, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Šlišai, Šlišų kaimas
1982, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Šunkariai, Šunkarių kaimas
1983, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Švarpliai, Švarplių kaimas
1984, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Tilvikai, Tilvikų kaimas
1985, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Tumšai, Tumšų kaimas
1986, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Ūseliai, Ūselių kaimas
1987, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Vabališkiai, Vabališkių kaimas
1988, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Vaitiekupiai, Vaitiekupių kaimas
1989, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Valakbūdis, Valakbūdžio kaimas
1990, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Valiai, Valių kaimas
1991, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Vargšai, Vargšų kaimas
1992, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Vidgiriai, Vidgirių kaimas
1993, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Vilkeliškiai, Vilkeliškių kaimas
1994, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Vosiškė, Vosiškės kaimas
1995, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Zajošiai, Zajošių kaimas
1996, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Zubriai, Zubrių kaimas
1997, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Šakių seniūnija, Žirniai, Žirnių kaimas
1998, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Janukiškiai, Janukiškių kaimas, Kaštonų gatvė
1999, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Janukiškiai, Janukiškių kaimas, Serbentų gatvė
2000, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Janukiškiai, Janukiškių kaimas, Antano Skelčio gatvė
2001, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Tupikai, Tupikų kaimas, Ąžuolų gatvė
2002, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Tupikai, Tupikų kaimas, Draugystės gatvė
2003, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Tupikai, Tupikų kaimas, Lauko gatvė
2004, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Tupikai, Tupikų kaimas, Liepų gatvė
2005, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Tupikai, Tupikų kaimas, Antaninos Liorentaitės gatvė
2006, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Tupikai, Tupikų kaimas, J. Staugaičio gatvė
2007, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Žvirgždaičiai, Žvirgždaičių miestelis, Ąžuolų gatvė
2008, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Žvirgždaičiai, Žvirgždaičių miestelis, Draugystės gatvė
2009, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Žvirgždaičiai, Žvirgždaičių miestelis, Liepų gatvė
2010, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Žvirgždaičiai, Žvirgždaičių miestelis, Antaninos Liorentaitės gatvė
2011, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Žvirgždaičiai, Žvirgždaičių miestelis, Šiaurės gatvė
2012, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Žvirgždaičiai, Žvirgždaičių miestelis, Stadiono gatvė
2013, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Žvirgždaičiai, Žvirgždaičių miestelis, Justino Staugaičio gatvė
2014, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Šakių rajono savivaldybė, Žvirgždaičių seniūnija, Žvirgždaičiai, Žvirgždaičių miestelis, Taikos gatvė
2015, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Bartninkai, Bartninkų miestelis, Aistos gatvė
2016, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Bartninkai, Bartninkų miestelis, Ąžuolyno gatvė
2017, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Bartninkai, Bartninkų miestelis, J. Basanavičiaus gatvė
2018, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Bartninkai, Bartninkų miestelis, Beržų gatvė
2019, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Bartninkai, Bartninkų miestelis, Lauko gatvė
2020, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Bartninkai, Bartninkų miestelis, Pakalnės gatvė
2021, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Bartninkai, Bartninkų miestelis, Paupio gatvė
2022, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Bartninkai, Bartninkų miestelis, Skardžio gatvė
2023, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Bartninkai, Bartninkų miestelis, Suvalkiečių gatvė
2024, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Bartninkai, Bartninkų miestelis, Žalumynų gatvė
2025, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Dalgėnai, Dalgėnų kaimas, J. Basanavičiaus gatvė
2026, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Kunigiškiai, Kunigiškių kaimas, Aistos gatvė
2027, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Pašeimeniai, Pašeimenių kaimas
2028, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Piliakalniai, Piliakalnių kaimas
2029, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Putinėliai, Putinėlių kaimas
2030, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Rasiai, Rasių kaimas
2031, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Sausininkai, Sausininkų kaimas
2032, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Skerpieviai, Skerpievių kaimas
2033, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Skroblai, Skroblų kaimas
2034, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Šeškiniai, Šeškinių kaimas
2035, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Šilbaliai, Šilbalių kaimas
2036, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Šulai, Šulų kaimas
2037, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Vaisbūniškiai, Vaisbūniškių kaimas
2038, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Vartai, Vartų kaimas
2039, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Vilkabaliai, Vilkabalių kaimas
2040, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Bartninkų seniūnija, Vinkšnupiai, Vinkšnupių kaimas
2041, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Gižai, Gižų kaimas, Aleksoto gatvė
2042, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Gižai, Gižų kaimas, K. Baršausko gatvė
2043, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Gižai, Gižų kaimas, Birutės gatvė
2044, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Gižai, Gižų kaimas, Kęstučio gatvė
2045, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Gižai, Gižų kaimas, Liepų gatvė
2046, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Gižai, Gižų kaimas, Rausvės gatvė
2047, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Gižai, Gižų kaimas, Sodo gatvė
2048, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Gižai, Gižų kaimas, Strazdžių gatvė
2049, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Gižai, Gižų kaimas, Suvalkijos gatvė
2050, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Gižai, Gižų kaimas, Vyšnių gatvė
2051, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gižų seniūnija, Gižai, Gižų kaimas, Žemdirbių gatvė
2052, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Beržiniai, Beržinių kaimas, Beržų gatvė
2053, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Dotamai, Dotamų kaimas, Aistiškių gatvė
2054, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Dotamai, Dotamų kaimas, Kalvarijos gatvė
2055, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Duonelaičiai, Duonelaičių kaimas, Šilsodžio gatvė
2056, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Duonelaičiai, Duonelaičių kaimas, Svirkalnio gatvė
2057, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Duonelaičiai, Duonelaičių kaimas, Vilkaviškio gatvė
2058, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Gražiškiai, Gražiškių miestelis, Dainavos gatvė
2059, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Gražiškiai, Gražiškių miestelis, Gėlių gatvė
2060, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Gražiškiai, Gražiškių miestelis, Gražupių gatvė
2061, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Gražiškiai, Gražiškių miestelis, Kapų gatvė
2062, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Gražiškiai, Gražiškių miestelis, Liepų gatvė
2063, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Gražiškiai, Gražiškių miestelis, Naujasodžio gatvė
2064, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Gražiškiai, Gražiškių miestelis, Pakalnės gatvė
2065, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Gražiškiai, Gražiškių miestelis, Širvintos gatvė
2066, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Gražiškiai, Gražiškių miestelis, Sodų gatvė
2067, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Gražiškiai, Gražiškių miestelis, Sūduvos gatvė
2068, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Rūkštėnai, Rūkštėnų kaimas, Kalvarijos gatvė
2069, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Skardupiai, Skardupių kaimas, Pajevonio gatvė
2070, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Skardupiai, Skardupių kaimas, Sodų gatvė
2071, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Šilsodis, Šilsodžio kaimas, Šilsodžio gatvė
2072, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Vilkaviškio rajono savivaldybė, Gražiškių seniūnija, Tupikai, Tupikų kaimas
