Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
61, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Cyrailė, Cyrailės kaimas
62, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Dainoriai, Dainorių kaimas
63, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Gazdai, Gazdų kaimas
64, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Giluišiai, Giluišių kaimas
65, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Gunkliškiai, Gunkliškių kaimas
66, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Kalniai, Kalnių kaimas
67, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Mergutrakis, Mergutrakio kaimas
68, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Miklausė, Miklausės kaimas
69, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Mockava, Mockavos kaimas
70, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Naujoji Radiškė, Naujosios Radiškės kaimas
71, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Naujoji Valia, Naujosios Valios kaimas
72, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Naujieji Alksnėnai, Naujųjų Alksnėnų kaimas
73, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Navininkai, Navininkų kaimas
74, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Pasiekos, Pasiekų kaimas
75, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kalvarijos savivaldybė, Sangrūdos seniūnija, Pašiliai, Pašilių kaimas
