city,citygenitive,country,municipality,id,county,street,civilparish
Pamelija,Pamelijos viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1522,Utenos apskritis,,Kurklių seniūnija
Papilėnai,Papilėnų viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1523,Utenos apskritis,,Kurklių seniūnija
Paulinava,Paulinavos kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1524,Utenos apskritis,,Kurklių seniūnija
Pavirinčiai,Pavirinčių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1525,Utenos apskritis,,Kurklių seniūnija
Pilviškiai,Pilviškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1526,Utenos apskritis,,Kurklių seniūnija
Plaštaka,Plaštakos kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1527,Utenos apskritis,,Kurklių seniūnija
Rundžiai,Rundžių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1528,Utenos apskritis,,Kurklių seniūnija
Sargūnai,Sargūnų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1529,Utenos apskritis,,Kurklių seniūnija
Starkiškis,Starkiškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1530,Utenos apskritis,,Kurklių seniūnija
Staškūniškis,Staškūniškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1531,Utenos apskritis,,Kurklių seniūnija
Šerelinė,Šerelinės viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1532,Utenos apskritis,,Kurklių seniūnija
Šiaudinė,Šiaudinės kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1533,Utenos apskritis,,Kurklių seniūnija
Šilelis,Šilelio viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1534,Utenos apskritis,,Kurklių seniūnija
Šližiai,Šližių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1535,Utenos apskritis,,Kurklių seniūnija
Trakiniai,Trakinių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1536,Utenos apskritis,,Kurklių seniūnija
Užunvėžiai,Užunvėžių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1537,Utenos apskritis,,Kurklių seniūnija
Užušilės,Užušilių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1538,Utenos apskritis,,Kurklių seniūnija
Vaiveriškiai,Vaiveriškių viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1539,Utenos apskritis,,Kurklių seniūnija
Vaja,Vajos viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1540,Utenos apskritis,,Kurklių seniūnija
Valakiniai,Valakinių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1541,Utenos apskritis,,Kurklių seniūnija
Vanagai,Vanagų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1542,Utenos apskritis,,Kurklių seniūnija
Varguliai,Vargulių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1543,Utenos apskritis,,Kurklių seniūnija
Verbuvka,Verbuvkos kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1544,Utenos apskritis,,Kurklių seniūnija
Vildžiūnai,Vildžiūnų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1545,Utenos apskritis,,Kurklių seniūnija
Vyliaudiškis,Vyliaudiškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1546,Utenos apskritis,,Kurklių seniūnija
Vilkiškiai,Vilkiškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1547,Utenos apskritis,,Kurklių seniūnija
Zizdra,Zizdros viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1548,Utenos apskritis,,Kurklių seniūnija
Jonydžiai,Jonydžių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1549,Utenos apskritis,,Skiemonių seniūnija
Jurgiškis,Jurgiškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1550,Utenos apskritis,,Skiemonių seniūnija
Kalveliai,Kalvelių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1551,Utenos apskritis,,Skiemonių seniūnija
Kampiniai,Kampinių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1552,Utenos apskritis,,Skiemonių seniūnija
Kančiškiai,Kančiškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1553,Utenos apskritis,,Skiemonių seniūnija
Katlėriai,Katlėrių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1554,Utenos apskritis,,Skiemonių seniūnija
Kavoliškis,Kavoliškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1555,Utenos apskritis,,Skiemonių seniūnija
Kelpiškis,Kelpiškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1556,Utenos apskritis,,Skiemonių seniūnija
Kilėviškiai,Kilėviškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1557,Utenos apskritis,,Skiemonių seniūnija
Kilėva,Kilėvos kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1558,Utenos apskritis,,Skiemonių seniūnija
Kiškeliai,Kiškelių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1559,Utenos apskritis,,Skiemonių seniūnija
Kriokšlys,Kriokšlio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1560,Utenos apskritis,,Skiemonių seniūnija
Kudoriškis,Kudoriškio viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1561,Utenos apskritis,,Skiemonių seniūnija
Kurkleliai,Kurklelių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1562,Utenos apskritis,,Skiemonių seniūnija
Legeniškis,Legeniškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1563,Utenos apskritis,,Skiemonių seniūnija
Linksmakalnis,Linksmakalnio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1564,Utenos apskritis,,Skiemonių seniūnija
Linksmavietė,Linksmavietės kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1565,Utenos apskritis,,Skiemonių seniūnija
Lukna,Luknos viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1566,Utenos apskritis,,Skiemonių seniūnija
Mačionys,Mačionių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1567,Utenos apskritis,,Skiemonių seniūnija
Mediniškiai,Mediniškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1568,Utenos apskritis,,Skiemonių seniūnija
Melėnai,Melėnų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1569,Utenos apskritis,,Skiemonių seniūnija
Mikoliškis,Mikoliškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1570,Utenos apskritis,,Skiemonių seniūnija
Milžinkapis,Milžinkapio viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1571,Utenos apskritis,,Skiemonių seniūnija
Miškiniškiai I,Miškiniškių I kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1572,Utenos apskritis,,Skiemonių seniūnija
Miškiniškiai II,Miškiniškių II kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1573,Utenos apskritis,,Skiemonių seniūnija
Mozūriškiai,Mozūriškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1574,Utenos apskritis,,Skiemonių seniūnija
Nagurkiškiai,Nagurkiškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1575,Utenos apskritis,,Skiemonių seniūnija
Narkiškis,Narkiškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1576,Utenos apskritis,,Skiemonių seniūnija
Naujaūlyčis,Naujaūlyčio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1577,Utenos apskritis,,Skiemonių seniūnija
Ožionys,Ožionių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1578,Utenos apskritis,,Skiemonių seniūnija
Paberėžiai,Paberėžių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1579,Utenos apskritis,,Skiemonių seniūnija
Paežeriai I,Paežerių I kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1580,Utenos apskritis,,Skiemonių seniūnija
Paežeriai II,Paežerių II kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1581,Utenos apskritis,,Skiemonių seniūnija
Paežeriai III,Paežerių III kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1582,Utenos apskritis,,Skiemonių seniūnija
Pagrįžai,Pagrįžų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1583,Utenos apskritis,,Skiemonių seniūnija
Palionys,Palionių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1584,Utenos apskritis,,Skiemonių seniūnija
Palukniai,Paluknių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1585,Utenos apskritis,,Skiemonių seniūnija
Paraisčiai,Paraisčių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1586,Utenos apskritis,,Skiemonių seniūnija
Pašilčiškis,Pašilčiškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1587,Utenos apskritis,,Skiemonių seniūnija
Pašiliai,Pašilių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1588,Utenos apskritis,,Skiemonių seniūnija
Pečiuliai,Pečiulių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1589,Utenos apskritis,,Skiemonių seniūnija
Piliakalnis,Piliakalnio viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1590,Utenos apskritis,,Skiemonių seniūnija
Pilviškiai,Pilviškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1591,Utenos apskritis,,Skiemonių seniūnija
Plepiškiai,Plepiškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1592,Utenos apskritis,,Skiemonių seniūnija
Pūstalaukiai,Pūstalaukių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1593,Utenos apskritis,,Skiemonių seniūnija
Remeikiai,Remeikių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1594,Utenos apskritis,,Skiemonių seniūnija
Sarickai,Sarickų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1595,Utenos apskritis,,Skiemonių seniūnija
Sarteniškis,Sarteniškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1596,Utenos apskritis,,Skiemonių seniūnija
Senoniškis,Senoniškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1597,Utenos apskritis,,Skiemonių seniūnija
Sintautai,Sintautų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1598,Utenos apskritis,,Skiemonių seniūnija
Sirvydiškis,Sirvydiškio viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1599,Utenos apskritis,,Skiemonių seniūnija
Skiemonys,Skiemonių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1600,Utenos apskritis,,Skiemonių seniūnija
Smulkis,Smulkio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1601,Utenos apskritis,,Skiemonių seniūnija
Subačiai,Subačių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1602,Utenos apskritis,,Skiemonių seniūnija
Šilai,Šilų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1603,Utenos apskritis,,Skiemonių seniūnija
Šlapelės,Šlapelių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1604,Utenos apskritis,,Skiemonių seniūnija
Šlynynė,Šlynynės kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1605,Utenos apskritis,,Skiemonių seniūnija
Terpežeriai,Terpežerių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1606,Utenos apskritis,,Skiemonių seniūnija
Topoliškiai,Topoliškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1607,Utenos apskritis,,Skiemonių seniūnija
Totoriškis,Totoriškio viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1608,Utenos apskritis,,Skiemonių seniūnija
Traineliškis,Traineliškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1609,Utenos apskritis,,Skiemonių seniūnija
Trakiniai,Trakinių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1610,Utenos apskritis,,Skiemonių seniūnija
Trakiškis,Trakiškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1611,Utenos apskritis,,Skiemonių seniūnija
Trumbatiškis,Trumbatiškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1612,Utenos apskritis,,Skiemonių seniūnija
Ustronė I,Ustronės I viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1613,Utenos apskritis,,Skiemonių seniūnija
Ustronė II,Ustronės II viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1614,Utenos apskritis,,Skiemonių seniūnija
Užuoraistis,Užuoraisčio viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1615,Utenos apskritis,,Skiemonių seniūnija
Vaisiutiškis,Vaisiutiškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1616,Utenos apskritis,,Skiemonių seniūnija
Vaišviliškiai,Vaišviliškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1617,Utenos apskritis,,Skiemonių seniūnija
Vaitutiškiai,Vaitutiškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1618,Utenos apskritis,,Skiemonių seniūnija
Varnupys,Varnupio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1619,Utenos apskritis,,Skiemonių seniūnija
Velykūnai,Velykūnų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1620,Utenos apskritis,,Skiemonių seniūnija
Vietiškės,Vietiškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1621,Utenos apskritis,,Skiemonių seniūnija
Vildiškiai,Vildiškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1622,Utenos apskritis,,Skiemonių seniūnija
Voversys,Voversių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1623,Utenos apskritis,,Skiemonių seniūnija
Želtiškiai,Želtiškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1624,Utenos apskritis,,Skiemonių seniūnija
Žibučiai,Žibučių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1625,Utenos apskritis,,Skiemonių seniūnija
Žiogai,Žiogų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1626,Utenos apskritis,,Skiemonių seniūnija
Maleišiai,Maleišių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1627,Utenos apskritis,,Svėdasų seniūnija
Miliūniškis,Miliūniškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1628,Utenos apskritis,,Svėdasų seniūnija
Milokiškis,Milokiškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1629,Utenos apskritis,,Svėdasų seniūnija
Miškiniai,Miškinių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1630,Utenos apskritis,,Svėdasų seniūnija
Moliakalnis,Moliakalnio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1631,Utenos apskritis,,Svėdasų seniūnija
Morkūniškiai,Morkūniškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1632,Utenos apskritis,,Svėdasų seniūnija
Narbūčiai,Narbūčių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1633,Utenos apskritis,,Svėdasų seniūnija
Naujikai,Naujikų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1634,Utenos apskritis,,Svėdasų seniūnija
Netikiškiai,Netikiškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1635,Utenos apskritis,,Svėdasų seniūnija
Padvariai,Padvarių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1636,Utenos apskritis,,Svėdasų seniūnija
Palaukiškiai,Palaukiškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1637,Utenos apskritis,,Svėdasų seniūnija
Pamaleišys,Pamaleišio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1638,Utenos apskritis,,Svėdasų seniūnija
Pauriškiai,Pauriškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1639,Utenos apskritis,,Svėdasų seniūnija
Rimdžiai,Rimdžių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1640,Utenos apskritis,,Svėdasų seniūnija
Rudakasiai,Rudakasių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1641,Utenos apskritis,,Svėdasų seniūnija
Sausalaukė,Sausalaukės kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1642,Utenos apskritis,,Svėdasų seniūnija
Savičiūnai,Savičiūnų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1643,Utenos apskritis,,Svėdasų seniūnija
Skverbai,Skverbų viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1644,Utenos apskritis,,Svėdasų seniūnija
Sliepšiškis,Sliepšiškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1645,Utenos apskritis,,Svėdasų seniūnija
Šaltiniai,Šaltinių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1646,Utenos apskritis,,Svėdasų seniūnija
Šeduikiai,Šeduikių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1647,Utenos apskritis,,Svėdasų seniūnija
Tadauskai,Tadauskų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1648,Utenos apskritis,,Svėdasų seniūnija
Trumpučiai,Trumpučių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1649,Utenos apskritis,,Svėdasų seniūnija
Vaitkūnai,Vaitkūnų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1650,Utenos apskritis,,Svėdasų seniūnija
Vikonys,Vikonių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1651,Utenos apskritis,,Svėdasų seniūnija
Vilkabrukiai,Vilkabrukių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1652,Utenos apskritis,,Svėdasų seniūnija
Visėtiškės,Visėtiškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1653,Utenos apskritis,,Svėdasų seniūnija
Zoviškiai,Zoviškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1654,Utenos apskritis,,Svėdasų seniūnija
Žalioji,Žaliosios kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1655,Utenos apskritis,,Svėdasų seniūnija
Traupis,Traupio miestelis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1656,Utenos apskritis,Jaunimo gatvė,Traupio seniūnija
Traupis,Traupio miestelis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1657,Utenos apskritis,Klaibūnų gatvė,Traupio seniūnija
Traupis,Traupio miestelis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1658,Utenos apskritis,Laukagalių gatvė,Traupio seniūnija
Traupis,Traupio miestelis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1659,Utenos apskritis,Liepų gatvė,Traupio seniūnija
Traupis,Traupio miestelis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1660,Utenos apskritis,Nevėžio gatvė,Traupio seniūnija
Traupis,Traupio miestelis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1661,Utenos apskritis,Palepeikio gatvė,Traupio seniūnija
Traupis,Traupio miestelis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1662,Utenos apskritis,Papartynės gatvė,Traupio seniūnija
Traupis,Traupio miestelis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1663,Utenos apskritis,Žerkiškių gatvė,Traupio seniūnija
Žerkiškiai,Žerkiškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1664,Utenos apskritis,,Traupio seniūnija
Žiurliai,Žiurlių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1665,Utenos apskritis,,Traupio seniūnija
Karčiai,Karčių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1666,Utenos apskritis,,Troškūnų seniūnija
Kaupiniškiai,Kaupiniškių viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1667,Utenos apskritis,,Troškūnų seniūnija
Kiaulėnai,Kiaulėnų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1668,Utenos apskritis,,Troškūnų seniūnija
Kiaušagalys,Kiaušagalio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1669,Utenos apskritis,,Troškūnų seniūnija
Kildonys,Kildonių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1670,Utenos apskritis,,Troškūnų seniūnija
Kirmėliai,Kirmėlių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1671,Utenos apskritis,,Troškūnų seniūnija
Kirmėliukai,Kirmėliukų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1672,Utenos apskritis,,Troškūnų seniūnija
Konciapolis,Konciapolio viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1673,Utenos apskritis,,Troškūnų seniūnija
Kučkeliai,Kučkelių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1674,Utenos apskritis,,Troškūnų seniūnija
Kumpiniškis,Kumpiniškio viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1675,Utenos apskritis,,Troškūnų seniūnija
Latavėnai,Latavėnų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1676,Utenos apskritis,,Troškūnų seniūnija
Laukagalėliai,Laukagalėlių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1677,Utenos apskritis,,Troškūnų seniūnija
Lydžiai,Lydžių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1678,Utenos apskritis,,Troškūnų seniūnija
Mašinka,Mašinkos viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1679,Utenos apskritis,,Troškūnų seniūnija
Mažionys,Mažionių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1680,Utenos apskritis,,Troškūnų seniūnija
Mediniškiai,Mediniškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1681,Utenos apskritis,,Troškūnų seniūnija
Meiluškiai,Meiluškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1682,Utenos apskritis,,Troškūnų seniūnija
Mickapetris,Mickapetrio viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1683,Utenos apskritis,,Troškūnų seniūnija
Mileikiškiai,Mileikiškių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1684,Utenos apskritis,,Troškūnų seniūnija
Miškalaukis,Miškalaukio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1685,Utenos apskritis,,Troškūnų seniūnija
Mitošiūnai,Mitošiūnų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1686,Utenos apskritis,,Troškūnų seniūnija
Mitrai,Mitrų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1687,Utenos apskritis,,Troškūnų seniūnija
Motiejūnai,Motiejūnų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1688,Utenos apskritis,,Troškūnų seniūnija
Nakonys,Nakonių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1689,Utenos apskritis,,Troškūnų seniūnija
Naujasėdis,Naujasėdžio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1690,Utenos apskritis,,Troškūnų seniūnija
Nausodė,Nausodės kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1691,Utenos apskritis,,Troškūnų seniūnija
Nevėžka,Nevėžkos viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1692,Utenos apskritis,,Troškūnų seniūnija
Padrujys,Padrujo kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1693,Utenos apskritis,,Troškūnų seniūnija
Pajuodžiai,Pajuodžių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1694,Utenos apskritis,,Troškūnų seniūnija
Pajuostis,Pajuosčio viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1695,Utenos apskritis,,Troškūnų seniūnija
Pajuostinys,Pajuostinio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1696,Utenos apskritis,,Troškūnų seniūnija
Pakapė,Pakapės kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1697,Utenos apskritis,,Troškūnų seniūnija
Palatavys,Palatavio viensėdis,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1698,Utenos apskritis,,Troškūnų seniūnija
Pasausiai,Pasausių kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1699,Utenos apskritis,,Troškūnų seniūnija
Pelekiškis,Pelekiškio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1700,Utenos apskritis,,Troškūnų seniūnija
Pelyšėlės I,Pelyšėlių I kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1701,Utenos apskritis,,Troškūnų seniūnija
Pelyšėlės II,Pelyšėlių II kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1702,Utenos apskritis,,Troškūnų seniūnija
Pelyšos II,Pelyšų II kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1703,Utenos apskritis,,Troškūnų seniūnija
Petkūnai,Petkūnų kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1704,Utenos apskritis,,Troškūnų seniūnija
Pienagalys,Pienagalio kaimas,LIETUVOS RESPUBLIKA,Anykščių rajono savivaldybė,1705,Utenos apskritis,,Troškūnų seniūnija
