Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
1690, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Jasauskai, Jasauskų kaimas, Beržyno gatvė
1691, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Jasauskai, Jasauskų kaimas, Dzūkų gatvė
1692, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Jasauskai, Jasauskų kaimas, Pievų gatvė
1693, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Jasauskai, Jasauskų kaimas, Šilo gatvė
1694, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Kalviai, Kalvių kaimas, Alyvų gatvė
1695, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Kalviai, Kalvių kaimas, Liepų gatvė
1696, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Kalviai, Kalvių kaimas, Pušyno gatvė
1697, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Kaniava, Kaniavos kaimas, Liepų gatvė
1698, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Kaniava, Kaniavos kaimas, Miškų gatvė
1699, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Kaniava, Kaniavos kaimas, Pievų gatvė
1700, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Kaniūkai, Kaniūkų kaimas, Alyvų gatvė
1701, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Kaniūkai, Kaniūkų kaimas, Klevų gatvė
1702, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Krokšlys, Krokšlio kaimas, Ąžuolų gatvė
1703, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Krokšlys, Krokšlio kaimas, Dzūkų gatvė
1704, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Krokšlys, Krokšlio kaimas, Pušų gatvė
1705, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Krokšlys, Krokšlio kaimas, Tilto gatvė
1706, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Krokšlys, Krokšlio kaimas, Ūlos gatvė
1707, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Krukliai, Kruklių kaimas, Dzūkų gatvė
1708, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Krukliai, Kruklių kaimas, Miškų gatvė
1709, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Lynežeris, Lynežerio kaimas, Ąžuolų gatvė
1710, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Lynežeris, Lynežerio kaimas, Ežero gatvė
1711, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Lynežeris, Lynežerio kaimas, Liepų gatvė
1712, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Lynežeris, Lynežerio kaimas, Smėlio gatvė
1713, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Mikalčiūnai, Mikalčiūnų kaimas, Ateities gatvė
1714, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Mikalčiūnai, Mikalčiūnų kaimas, Pušyno gatvė
1715, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Paąžuolė, Paąžuolės kaimas
1716, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Pakaniavys, Pakaniavio kaimas
1717, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Pakuliškės, Pakuliškių kaimas
1718, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Paramėlis, Paramėlio kaimas
1719, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Pauosupė, Pauosupės kaimas
1720, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Podubičiai, Podubičių kaimas
1721, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Prauda, Praudos kaimas
1722, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Stojai, Stojų kaimas
1723, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Stoniūnai, Stoniūnų kaimas
1724, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Šiliniai, Šilinių kaimas
1725, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Šulai, Šulų kaimas
1726, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Kaniavos seniūnija, Ūta, Ūtos kaimas
1727, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Ašašninkai, Ašašninkų kaimas, Žirmūnų gatvė
1728, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Darželiai, Darželių kaimas, Grūdos gatvė
1729, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Grybaulia, Grybaulios kaimas, Baublių gatvė
1730, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Grybaulia, Grybaulios kaimas, Grybautojų gatvė
1731, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Grybaulia, Grybaulios kaimas, Kanalo gatvė
1732, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Kabeliai, Kabelių kaimas, Bažnyčios gatvė
1733, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Kabeliai, Kabelių kaimas, Grūdos gatvė
1734, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Kabeliai, Kabelių kaimas, Kabelių gatvė
1735, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Kabeliai, Kabelių kaimas, Mokyklos gatvė
1736, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Kapiniškiai, Kapiniškių kaimas, Alekniškių gatvė
1737, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Kapiniškiai, Kapiniškių kaimas, Skroblaus gatvė
1738, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Kapiniškiai, Kapiniškių kaimas, Sodžiaus gatvė
1739, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Mančiagirė, Mančiagirės kaimas, Klonės gatvė
1740, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Mančiagirė, Mančiagirės kaimas, Ūlos gatvė
1741, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Marcinkonys, Marcinkonių kaimas, Čepkelių kelias
1742, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Marcinkonys, Marcinkonių kaimas, Gaidžių gatvė
1743, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Marcinkonys, Marcinkonių kaimas, Grūdos gatvė
1744, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Marcinkonys, Marcinkonių kaimas, Kastinio gatvė
1745, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Marcinkonys, Marcinkonių kaimas, Kliūčių gatvė
1746, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Marcinkonys, Marcinkonių kaimas, Miškininkų gatvė
1747, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Marcinkonys, Marcinkonių kaimas, K. Nasvyčio gatvė
1748, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Marcinkonys, Marcinkonių kaimas, Naujadvarės gatvė
1749, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Marcinkonys, Marcinkonių kaimas, Naujalių gatvė
1750, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Marcinkonys, Marcinkonių kaimas, Pušyno gatvė
1751, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Marcinkonys, Marcinkonių kaimas, Šaltinių gatvė
1752, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Marcinkonys, Marcinkonių kaimas, Šilagėlių gatvė
1753, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Marcinkonys, Marcinkonių kaimas, Šilų gatvė
1754, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Marcinkonys, Marcinkonių kaimas, Smėlio gatvė
1755, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Mardasavas, Mardasavo kaimas, Dzūkų gatvė
1756, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Mardasavas, Mardasavo kaimas, Ūlos gatvė
1757, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Margionys, Margionių kaimas, Klojimo gatvė
1758, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Margionys, Margionių kaimas, Šaltinio gatvė
1759, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Musteika, Musteikos kaimas, Ąžuolo gatvė
1760, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Musteika, Musteikos kaimas, Gandrų gatvė
1761, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Musteika, Musteikos kaimas, Musteikos gatvė
1762, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Musteika, Musteikos kaimas, Tilto gatvė
1763, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Puvočiai, Puvočių kaimas, Grūdos gatvė
1764, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Puvočiai, Puvočių kaimas, Merkio gatvė
1765, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Šklėriai, Šklėrių kaimas, Miško gatvė
1766, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Šklėriai, Šklėrių kaimas, Šklėrių gatvė
1767, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Marcinkonių seniūnija, Viršurodukis, Viršurodukio kaimas
1768, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Biekšios, Biekšių kaimas, Paupio gatvė
1769, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Butvydonys, Butvydonių kaimas, Sodų gatvė
1770, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Butvydonys, Butvydonių kaimas, Versekos gatvė
1771, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Čebatoriai, Čebatorių kaimas, Tauramiškio gatvė
1772, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Čebatoriai, Čebatorių kaimas, Taurupio gatvė
1773, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Giraitė, Giraitės kaimas, Giraitės gatvė
1774, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Jurgiškės, Jurgiškių kaimas, Kaštonų gatvė
1775, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Jurgiškės, Jurgiškių kaimas, Liepų gatvė
1776, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Krūminiai, Krūminių kaimas, Alyvų gatvė
1777, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Krūminiai, Krūminių kaimas, Beržų gatvė
1778, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Krūminiai, Krūminių kaimas, Malūno gatvė
1779, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Krūminiai, Krūminių kaimas, Naujoji gatvė
1780, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Krūminiai, Krūminių kaimas, Piliakalnio gatvė
1781, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Krūminiai, Krūminių kaimas, Senolių gatvė
1782, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Krūminiai, Krūminių kaimas, Trumpoji gatvė
1783, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Krūminiai, Krūminių kaimas, Versekos gatvė
1784, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Ąžuolų gatvė
1785, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Beržų gatvė
1786, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Duobupio gatvė
1787, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Dzūkų gatvė
1788, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Gėlių gatvė
1789, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Gluosnių gatvė
1790, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Grybų gatvė
1791, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Ilgoji gatvė
1792, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Jazminų gatvė
1793, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Kalno gatvė
1794, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Kaštonų gatvė
1795, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Klevų gatvė
1796, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Liepų gatvė
1797, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Medžiotojų gatvė
1798, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Merkio gatvė
1799, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Miško gatvė
1800, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Pievų gatvė
1801, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Pušų gatvė
1802, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Ramunių gatvė
1803, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Rožių gatvė
1804, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Šaltinio gatvė
1805, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Šilo gatvė
1806, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Smiltynės gatvė
1807, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Statybininkų gatvė
1808, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Matuizos, Matuizų kaimas, Trumpoji gatvė
1809, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Pamerkiai, Pamerkių kaimas, Geležinkelio gatvė
1810, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Pamerkiai, Pamerkių kaimas, Merkio gatvė
1811, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Pamerkiai, Pamerkių kaimas, Šaltinio gatvė
1812, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Pamerkiai, Pamerkių kaimas, Žarkauskų gatvė
1813, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Papiškės, Papiškių kaimas, Plento gatvė
1814, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Papiškės, Papiškių kaimas, Žalioji gatvė
1815, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Paversekis, Paversekio kaimas, Versekos gatvė
1816, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Matuizų seniūnija, Žagariai, Žagarių kaimas
1817, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Burokaraistis, Burokaraisčio kaimas, Sodų gatvė
1818, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Burokaraistis, Burokaraisčio kaimas, Sodžiaus gatvė
1819, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Burokaraistis, Burokaraisčio kaimas, Volungių gatvė
1820, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Burokaraistėlė, Burokaraistėlės kaimas, Ežero gatvė
1821, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Burokaraistėlė, Burokaraistėlės kaimas, Liepų gatvė
1822, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Dubaklonis, Dubaklonio kaimas, Panemunės gatvė
1823, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Gudakiemis, Gudakiemio kaimas, Bokšto gatvė
1824, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Gudakiemis, Gudakiemio kaimas, Burokaraisčio gatvė
1825, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Gudakiemis, Gudakiemio kaimas, Kalnų gatvė
1826, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Gudakiemis, Gudakiemio kaimas, Kaštonų gatvė
1827, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Ilgininkai, Ilgininkų kaimas, Dugnų gatvė
1828, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Ilgininkai, Ilgininkų kaimas, Ežero gatvė
1829, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Ilgininkai, Ilgininkų kaimas, Ilgio gatvė
1830, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Ilgininkai, Ilgininkų kaimas, Ryto gatvė
1831, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Ilgininkai, Ilgininkų kaimas, Žiedo gatvė
1832, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Jakubiškiai, Jakubiškių kaimas, Pušyno gatvė
1833, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Jonionys, Jonionių kaimas, Nemuno gatvė
1834, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Krušonys, Krušonių kaimas
1835, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Kučiūnai, Kučiūnų kaimas
1836, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Kudrėnai, Kudrėnų kaimas
1837, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Kurmiškė, Kurmiškės kaimas
1838, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Lankininkai, Lankininkų kaimas
1839, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Laukininkėliai, Laukininkėlių kaimas
1840, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Laukininkai, Laukininkų kaimas
1841, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Lemkaraistis, Lemkaraisčio kaimas
1842, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Lesagūrai, Lesagūrų kaimas
1843, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Levūnai, Levūnų kaimas
1844, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Maksimonys, Maksimonių kaimas
1845, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Maksimai, Maksimų kaimas
1846, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Mantvilai, Mantvilų kaimas
1847, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Margai, Margų kaimas
1848, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Merkinė, Merkinės viensėdis
1849, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Mikniūnai, Mikniūnų kaimas
1850, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Milioniškės, Milioniškių kaimas
1851, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Navasodai, Navasodų kaimas
1852, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Navikai, Navikų kaimas
1853, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Netiesos, Netiesų kaimas
1854, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Pagilšys, Pagilšio kaimas
1855, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Pagronyčys, Pagronyčio kaimas
1856, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Papiškės, Papiškių kaimas
1857, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Parudnia, Parudnios kaimas
1858, LIETUVOS RESPUBLIKA, Alytaus apskritis, Varėnos rajono savivaldybė, Merkinės seniūnija, Pašilingė, Pašilingės kaimas
