id,country,county,municipality,civilparish,city,citygenitive,street
56,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Berželio Sodų 6-oji gatvė,,
57,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Berželio Sodų 7-oji gatvė,,
58,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Berželio Sodų 8-oji gatvė,,
59,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Berželio Sodų 9-oji gatvė,,
60,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Beržų gatvė,,
61,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,V. Bielskio gatvė,,
62,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Bijotės gatvė,,
63,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,J. Biliūno gatvė,,
64,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Birštono gatvė,,
65,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Birutės gatvė,,
66,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Biržų gatvė,,
67,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,J. Bretkūno gatvė,,
68,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Bruknių gatvė,,
69,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Bubių gatvė,,
70,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,M. K. Čiurlionio gatvė,,
71,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,V. Čkalovo gatvė,,
72,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,P. Cvirkos gatvė,,
73,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Dagilių gatvė,,
74,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Dailidžių gatvė,,
75,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Dainavos gatvė,,
76,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Dainavos takas,,
77,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Dainų gatvė,,
78,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Darbininkų gatvė,,
79,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,S. Dariaus ir S. Girėno gatvė,,
80,LIETUVOS RESPUBLIKA,Šiaulių apskritis,Šiaulių miesto savivaldybė,Šiauliai,Darkiemio gatvė,,
